scenario,model,absolute_error_pp,brier,wis_pp,width70_pp,width95_pp,races,correct,coverage70,coverage95,accuracy_pct
matched_live,Bayesian,6.30669951932516,0.05547549740712606,3.822071947221663,19.87642276367679,37.58762806486372,140,128.0,78.57142857142857,94.28571428571428,91.42857142857143
matched_live,Matched Student-t (df5),6.344308123400501,0.054842670606247326,3.7826706598464908,16.929354033877985,35.08433263656748,140,129.0,66.42857142857143,92.85714285714286,92.14285714285714
oct31,Bayesian,5.205968268930451,0.050421691147720715,3.0537567326593007,15.79966356041362,29.878207186460138,140,132.0,73.57142857142858,94.28571428571428,94.28571428571429
oct31,Matched Student-t (df5),5.22423881799823,0.04948968002236504,3.0491382350322733,13.28674995385046,26.851285396850706,140,132.0,62.142857142857146,92.14285714285714,94.28571428571429
