scenario,cycle,model,absolute_error_pp,squared_error_pp,signed_error_pp,brier,wis_pp,width70_pp,coverage70,coverage95,n,correct
matched_live,2012,Final Gaussian,7.485624622209124,85.91769495529017,-2.5634177460414,0.061885857550170786,4.413352360963743,25.38790010306906,0.7419354838709677,0.9354838709677419,31,29.0
matched_live,2012,Older Gaussian,7.64739711989546,86.50626658517838,-1.9871797121385593,0.05662820445322971,4.773436208389215,28.80085689638455,0.7419354838709677,0.9354838709677419,31,28.0
matched_live,2014,Final Gaussian,10.222118765260372,224.08000615052268,5.822101836848122,0.10315890273793746,6.3856370678821515,28.021961220580092,0.6666666666666666,0.8888888888888888,27,23.0
matched_live,2014,Older Gaussian,10.543242358348293,246.35039138309435,6.883556467228,0.10720295442518243,6.775251822085717,30.548048002260938,0.6666666666666666,0.8888888888888888,27,24.0
matched_live,2016,Final Gaussian,7.846423182412895,166.71025616163175,4.089364171209587,0.103798765908378,5.110969187260132,30.327906232438597,0.8275862068965517,0.9655172413793104,29,23.0
matched_live,2016,Older Gaussian,8.735959542944686,208.88675885532598,4.531834884129265,0.11438555070073002,5.627665029191098,36.192024609359265,0.8275862068965517,1.0,29,24.0
matched_live,2018,Final Gaussian,3.761312476191867,23.470220861994132,0.6823876978177974,0.04320664297700429,2.4331540207635434,16.400294199092258,0.9,1.0,30,28.0
matched_live,2018,Older Gaussian,3.9445697160716384,23.603717539216287,0.9261933162380138,0.0460314611194095,2.497777707046039,16.86374514320037,0.9,1.0,30,28.0
matched_live,2020,Final Gaussian,7.847076469314029,141.37425702231354,7.054112422234078,0.049406923033052275,4.236452246486534,20.477884770156287,0.7407407407407407,0.9629629629629629,27,25.0
matched_live,2020,Older Gaussian,8.589217050761484,185.37310040647557,7.470404036304785,0.05665144700985465,4.497777793734047,20.08072648594327,0.7407407407407407,0.9629629629629629,27,25.0
matched_live,2022,Final Gaussian,7.390753558757494,110.03764032913583,2.9041670289499018,0.03620147116913672,5.038713461340185,18.25995205436652,0.6923076923076923,0.7692307692307693,26,25.0
matched_live,2022,Older Gaussian,7.801256246767282,121.63757835444082,2.6818172271094807,0.034394656451607004,5.2480592031348445,17.01904103572614,0.6923076923076923,0.7307692307692307,26,25.0
matched_live,2024,Final Gaussian,4.687931909949515,28.106863568987254,3.5602338338876294,0.04476368394805901,2.2910708202579215,13.916076562330286,0.75,1.0,28,27.0
matched_live,2024,Older Gaussian,4.971259980885477,31.71324607177829,4.04292450738472,0.04398742098288242,2.3925369304735384,14.33053183057282,0.7857142857142857,1.0,28,27.0
oct31,2012,Final Gaussian,5.399953994801967,49.93304735129538,-1.3119129774277303,0.04234375452839811,3.0281080115851298,18.47740433378666,0.8387096774193549,1.0,31,30.0
oct31,2012,Older Gaussian,6.045879575448259,62.60701264214749,-1.1765966424346417,0.04900127569372093,3.405002748894085,22.3757019937324,0.8387096774193549,1.0,31,30.0
oct31,2014,Final Gaussian,5.54515439912113,53.06489248597953,3.197580537269105,0.03476935482364163,3.213544050820794,15.203867912987127,0.7037037037037037,0.9259259259259259,27,26.0
oct31,2014,Older Gaussian,5.171976424675584,48.52671770668388,3.573256704932313,0.034248148417039985,3.2087300002474652,15.507587166108786,0.6666666666666666,0.8888888888888888,27,26.0
oct31,2016,Final Gaussian,6.629158191207173,65.72839798140477,4.456919023226377,0.0964168986619848,3.90001379057261,16.438294519830162,0.5517241379310345,0.8620689655172413,29,24.0
oct31,2016,Older Gaussian,6.534282986135978,62.59209854075719,4.655252886889884,0.09569899573542907,3.9524795097436876,17.08118641265351,0.5862068965517241,0.8620689655172413,29,24.0
oct31,2018,Final Gaussian,3.4418741601435046,19.9890822575768,-0.6170569718438647,0.04308336941906886,2.172211565581555,15.233425143206233,0.9333333333333333,1.0,30,30.0
oct31,2018,Older Gaussian,3.3675042272863296,17.78741165987142,-0.4858380904244554,0.042738857643396064,2.100369593307593,14.586156648994887,0.9333333333333333,1.0,30,30.0
oct31,2020,Final Gaussian,6.344847395539305,66.05102173934111,6.0651848274770765,0.04389052849988685,3.5998985921167796,17.239277099676755,0.6296296296296297,0.9629629629629629,27,25.0
oct31,2020,Older Gaussian,6.443551826782104,69.07393212386116,6.148630220230122,0.04339399388927515,3.5331168219184512,16.123963538946786,0.5925925925925926,0.9629629629629629,27,26.0
oct31,2022,Final Gaussian,5.327095406054895,48.544168139501735,1.8949133761748322,0.027994507819067507,3.389654269457602,16.29865455746056,0.6153846153846154,0.8846153846153846,26,26.0
oct31,2022,Older Gaussian,5.900683671872433,56.05660198396684,2.121491764565239,0.028457861316587625,3.6463215642774967,15.727412562829942,0.5384615384615384,0.8076923076923077,26,26.0
oct31,2024,Final Gaussian,4.286866191707378,25.039888821784665,3.638209358291529,0.04072315133859555,2.207005445567956,13.78866648189439,0.9285714285714286,1.0,28,27.0
oct31,2024,Older Gaussian,4.471878300290065,27.55431714971403,3.8764137258334874,0.04030448704046825,2.2749175781013204,14.203616360664409,0.9285714285714286,1.0,28,27.0
