first,scope,scenario,model,n,cycles,correct,accuracy,mae_cycle,mae_pooled,rmse_pooled,bias_cycle,brier_cycle,wis_cycle,width70_cycle,coverage70_pooled,coverage95_pooled
2012,all,matched_live,Final Gaussian,198,7,180,90.9090909090909,7.0344629977279,6.9885351878990045,10.47300245709161,3.0784213207008166,0.06320317818910551,4.27276416642203,21.82742502029044,76.26262626262627,93.43434343434343
2012,all,matched_live,Older Gaussian,198,7,181,91.41414141414141,7.4618431450963305,7.410876640762682,11.271355488978008,3.507078675179386,0.0656116707346994,4.544643527722071,23.404996286206764,76.76767676767676,93.43434343434343
2012,all,oct31,Final Gaussian,198,7,188,94.94949494949495,5.282135676939335,5.264985699844646,6.8287550885641135,2.4748338818810462,0.04703165215580618,3.072919389386061,16.097084292691697,74.74747474747475,94.94949494949495
2012,all,oct31,Older Gaussian,198,7,189,95.45454545454545,5.419393858927251,5.405006216775716,6.997048683965291,2.6732300813702783,0.047691945676559586,3.1601339737843,16.51508924056153,73.23232323232324,93.43434343434343
2012,competitive,matched_live,Final Gaussian,75,7,62,82.66666666666667,6.997265238465736,6.747528699197015,10.939724604229198,3.598055186531776,0.11063743366063558,4.032952531824262,18.43964965430394,77.33333333333333,90.66666666666666
2012,competitive,matched_live,Older Gaussian,75,7,63,84.0,7.32644888033659,7.063928429473926,11.934162189817332,3.5710610717285265,0.11192443834803052,4.222714146217868,20.084801864099802,77.33333333333333,90.66666666666666
2012,competitive,oct31,Final Gaussian,75,7,68,90.66666666666666,4.769926629844081,4.646334134347395,6.514827702005952,2.2396412459162773,0.09160189358664374,2.799942604114094,12.969130264847264,76.0,94.66666666666667
2012,competitive,oct31,Older Gaussian,75,7,69,92.0,4.801623571366186,4.691759783113358,6.486279124616031,2.1971219205336174,0.09186359187714688,2.8542980782542355,13.491654167630069,73.33333333333333,93.33333333333333
2012,polled,matched_live,Final Gaussian,136,7,124,91.17647058823529,5.82653781714104,5.606727984315077,7.403650240766005,2.454592074634864,0.07093950340444587,3.2805543860515436,14.580231243038503,72.79411764705883,92.64705882352942
2012,polled,matched_live,Older Gaussian,136,7,125,91.91176470588235,5.9682031182359765,5.782849279226773,7.658316887964814,2.429890288169507,0.06979826916572844,3.369013575827065,14.55117925247687,72.05882352941177,91.91176470588235
