scenario,cycle,model,point_D,point_R,expected_D,expected_R,p_D_control,D_lo70,D_hi70,fixed_D,unmodeled_contested,actual_D,method,expected_D_exact,D_median,seat_wis,D_lo50,D_hi50,width50,coverage50,width70,coverage70,D_lo80,D_hi80,width80,coverage80,D_lo95,D_hi95,width95,coverage95,seat_crps,expected_seat_error,evidence,D control %,70% D seats
matched_live,2026,Bayesian,51,49,50.32039374858208,49.67960625141792,0.4552,49,52,34,0,,Bayesian joint covariance,50.32039374858208,50,,49,51,2,,3,,48,52,4,,47,53,6,,,,live,45.519999999999996,49–52
matched_live,2026,Matched Student-t (df5),51,49,50.47645196553856,49.52354803446144,0.50028125,49,52,34,0,,Matched componentwise Student MCMC,50.47645196553856,51,,50,51,1,,3,,49,52,3,,48,53,5,,,,live,50.028125,49–52
