scenario,cycle,model,absolute_error_pp,brier,coverage70,width70_pp,n,correct
matched_live,2012,Bayesian,7.485624622209124,0.061885857550170786,0.7419354838709677,25.38790010306906,31,29.0
matched_live,2012,Matched Student-t (df5),7.605494830690518,0.060297043231419566,0.6774193548387096,22.131179094565244,31,28.0
matched_live,2014,Bayesian,10.222118765260372,0.10315890273793746,0.6666666666666666,28.021961220580092,27,23.0
matched_live,2014,Matched Student-t (df5),10.239087156490612,0.10219081567053542,0.6296296296296297,24.35726070112391,27,23.0
matched_live,2016,Bayesian,7.846423182412895,0.103798765908378,0.8275862068965517,30.327906232438597,29,23.0
matched_live,2016,Matched Student-t (df5),7.808203618834557,0.10684428026201723,0.7241379310344828,25.959027102132143,29,24.0
matched_live,2018,Bayesian,3.761312476191867,0.04320664297700429,0.9,16.400294199092258,30,28.0
matched_live,2018,Matched Student-t (df5),3.8709812203544027,0.041551498545361776,0.8333333333333334,14.04471184550113,30,28.0
matched_live,2020,Bayesian,7.847076469314029,0.049406923033052275,0.7407407407407407,20.477884770156287,27,25.0
matched_live,2020,Matched Student-t (df5),7.909273534485645,0.05015597578468899,0.5925925925925926,17.760563873744672,27,25.0
matched_live,2022,Bayesian,7.390753558757494,0.03620147116913672,0.6923076923076923,18.25995205436652,26,25.0
matched_live,2022,Matched Student-t (df5),7.387595594048948,0.03163356108256492,0.5769230769230769,15.364298239132333,26,25.0
matched_live,2024,Bayesian,4.687931909949515,0.04476368394805901,0.75,13.916076562330286,28,27.0
matched_live,2024,Matched Student-t (df5),4.745486649278955,0.044028037356603704,0.5714285714285714,11.51816910887965,28,27.0
oct31,2012,Bayesian,5.399953994801967,0.04234375452839811,0.8387096774193549,18.47740433378666,31,30.0
oct31,2012,Matched Student-t (df5),5.493830235264263,0.040485082569395425,0.8387096774193549,16.472571984574397,31,30.0
oct31,2014,Bayesian,5.54515439912113,0.03476935482364163,0.7037037037037037,15.203867912987127,27,26.0
oct31,2014,Matched Student-t (df5),5.454357199712904,0.03213536398075262,0.6666666666666666,13.874121953566803,27,25.0
oct31,2016,Bayesian,6.629158191207173,0.0964168986619848,0.5517241379310345,16.438294519830162,29,24.0
oct31,2016,Matched Student-t (df5),6.60037050009229,0.10289975481479559,0.5517241379310345,14.059347863891483,29,24.0
oct31,2018,Bayesian,3.4418741601435046,0.04308336941906886,0.9333333333333333,15.233425143206233,30,30.0
oct31,2018,Matched Student-t (df5),3.448126960212822,0.03958684068283524,0.9,12.923111079156621,30,30.0
oct31,2020,Bayesian,6.344847395539305,0.04389052849988685,0.6296296296296297,17.239277099676755,27,25.0
oct31,2020,Matched Student-t (df5),6.395693825271339,0.04438656767886545,0.4444444444444444,14.809389675691001,27,25.0
oct31,2022,Bayesian,5.327095406054895,0.027994507819067507,0.6153846153846154,16.29865455746056,26,26.0
oct31,2022,Matched Student-t (df5),5.332148093703596,0.021802101271502054,0.5,13.827050181336691,26,26.0
oct31,2024,Bayesian,4.286866191707378,0.04072315133859555,0.9285714285714286,13.78866648189439,28,27.0
oct31,2024,Matched Student-t (df5),4.344854710711104,0.03877313566382686,0.6785714285714286,10.814850969176502,28,27.0
