model,geography,margin_pp,D win %,lo70_pp,hi70_pp
Bayesian,AK,-3.0958415287328274,30.011896626779777,-9.218505770841624,3.026822713375969
Bayesian,AL,-22.01573866185789,0.03860620499221415,-28.801515392457233,-15.229961931258543
Bayesian,AR,-20.79710740418013,0.16736215296778628,-28.143903091857872,-13.45031171650239
Bayesian,CO,17.435444420935596,92.74579456148953,5.033778831032793,29.8371100108384
Bayesian,DE,24.95024163177477,99.91740426557101,16.732031750180134,33.168451513369405
Bayesian,FL,-5.475940052205951,20.28905577610231,-12.302799638003634,1.3509195335917328
Bayesian,GA,5.215967552746134,80.84139313205947,-0.9831048239589002,11.415039929451169
Bayesian,IA,-3.2658793836054647,29.18386838722259,-9.442404367860243,2.910645600649314
Bayesian,ID,-25.971671930740033,0.022274574565273746,-33.63719328403549,-18.306150577444576
Bayesian,IL,22.019279440762237,99.60312300639144,13.422682461520722,30.61587642000375
Bayesian,KS,-8.388414827789616,6.366959630205296,-14.090620637467259,-2.686209018111972
Bayesian,KY,-13.598637663575397,1.3655257792462923,-19.984572501134746,-7.212702826016049
Bayesian,LA,-15.981654746289768,2.7145472932270884,-24.588488843391616,-7.374820649187919
Bayesian,MA,25.618878886548224,99.99933275141693,19.52103759462886,31.716720178467586
Bayesian,ME,8.18870089045321,92.00214817756755,2.1490297034932437,14.228372077413177
Bayesian,MI,4.992637963154714,79.93652893339728,-1.1722492668145614,11.157525193123991
Bayesian,MN,8.386103123132909,87.90066578973996,0.957578683299861,15.814627562965956
Bayesian,MS,-11.63641141364923,2.3772535002158848,-17.72316383278811,-5.549658994510348
Bayesian,MT,-18.68745036606597,0.36511029158041586,-25.907049798467707,-11.467850933664234
Bayesian,NC,4.74748840635947,82.57889179710223,-0.5001345078645247,9.995111320583465
Bayesian,NE,-24.077926415917705,3.5087311540930624,-37.859358201791395,-10.29649463004402
Bayesian,NH,9.977250798914262,95.4118649483278,3.8445687930515726,16.109932804776953
Bayesian,NJ,17.718151480371553,99.61798351869197,10.834086995431086,24.60221596531202
Bayesian,NM,15.594195263073042,98.11224205650953,7.814497870456102,23.373892655689982
Bayesian,OH,2.7723536724470077,68.66103055417925,-3.1366891931443655,8.681396538038381
Bayesian,OK,-27.863858907342287,0.04995256587353106,-36.639563461076136,-19.088154353608438
Bayesian,OR,23.066763688539286,99.87245931612246,15.143262785618347,30.990264591460225
Bayesian,RI,27.171834113080326,99.94992792189134,18.61233357772501,35.73133464843564
Bayesian,SC,-10.917677854211464,3.3230443790441586,-17.083117144685335,-4.752238563737593
Bayesian,SD,-34.04744517220958,0.019127487956321777,-43.982556300572256,-24.112334043846896
Bayesian,TN,-21.440607393420688,0.48416610082881717,-30.030595903208678,-12.850618883632697
Bayesian,TX,0.06299456071932985,50.51453596399425,-4.999059007332743,5.125048128771404
Bayesian,VA,16.446197739132078,98.41013058316773,8.506841431759646,24.38555404650451
Bayesian,WV,-32.465593940033436,5.676434724346659,-53.72802286466124,-11.203165015405627
Bayesian,WY,-43.33151027273659,9.513404202990857e-07,-51.32176502892615,-35.34125551654702
Matched Student-t (df5),AK,-2.870613710386074,27.476953617684806,-7.97783682649068,2.2660046315997
Matched Student-t (df5),AL,-21.938198228496805,0.1422477345189502,-27.936058039129854,-16.12415888132293
Matched Student-t (df5),AR,-19.229791433785252,0.8049357032346721,-26.04761017393788,-12.230210446296352
Matched Student-t (df5),CO,17.624397169220423,94.28260535223666,6.80229803400916,28.294041740044143
Matched Student-t (df5),DE,25.1468207609142,99.55985536917991,17.99541460606178,32.41673508839967
Matched Student-t (df5),FL,-5.321536520440095,15.098577925012624,-10.574025007569686,0.01968856636277836
Matched Student-t (df5),GA,5.307901177057196,86.39232251987728,0.2995687630209651,10.314065049260167
Matched Student-t (df5),IA,-3.076292936814267,25.782973357119843,-7.979973933404375,1.8139753327726487
Matched Student-t (df5),ID,-25.74846458002773,0.2903233291899481,-32.44377196972437,-19.010152698438567
Matched Student-t (df5),IL,22.20048249286424,99.16252747227999,14.706467197666683,29.584065652045318
Matched Student-t (df5),KS,-7.794449498237331,6.372668939762674,-12.828664874834658,-2.628099758005899
Matched Student-t (df5),KY,-13.401755709611678,1.0137827485578361,-18.643398504695583,-8.046990748520447
Matched Student-t (df5),LA,-15.791782408101433,2.8706885428225353,-23.260592176783096,-8.237395949428457
Matched Student-t (df5),MA,25.66379205187022,99.99474082932267,20.486023694257362,30.888939490284923
Matched Student-t (df5),ME,7.960713705263744,93.99312468391076,2.9129305290985967,13.081122298011143
Matched Student-t (df5),MI,4.902561607174551,85.01178039691713,0.0057612209579932855,9.838931084994298
Matched Student-t (df5),MN,8.585635533838113,90.90787479372453,2.04011306263969,15.16069350115918
Matched Student-t (df5),MS,-11.584615460041201,2.057288723690835,-16.81961016470252,-6.234613054432737
Matched Student-t (df5),MT,-18.945855390497293,0.19007139585531208,-25.233496118130095,-12.821417903147092
Matched Student-t (df5),NC,4.938002301273513,88.65126742896763,0.7134123875502564,9.193362128645546
Matched Student-t (df5),NE,-23.907293100739988,3.3899386188595537,-35.785461201431296,-11.942266351337397
Matched Student-t (df5),NH,9.413547467545499,94.08369086569304,3.4569812639696966,15.264184451195323
Matched Student-t (df5),NJ,17.899574821633195,99.16540298878735,11.841484583894305,23.955513827418528
Matched Student-t (df5),NM,15.738914192328716,99.18073957514966,9.135973407701174,22.414157695901263
Matched Student-t (df5),OH,2.898103069806126,74.19867696757808,-1.714696935272604,7.614293858467015
Matched Student-t (df5),OK,-27.63395903045577,0.3876119494562936,-35.19978508639961,-19.983496203648826
Matched Student-t (df5),OR,23.182203931042874,99.52430907315384,16.255435929650055,30.140196584023478
Matched Student-t (df5),RI,27.722779135781764,99.79770569986165,20.085456593845166,35.29605980467534
Matched Student-t (df5),SC,-10.554709094254333,2.512492158326688,-15.750960137470585,-5.365333181708641
Matched Student-t (df5),SD,-33.883242179063174,0.2907512157382248,-42.57739055165852,-25.256345281962975
Matched Student-t (df5),TN,-21.243076084300796,1.0290082317882503,-28.65852294595156,-13.779875044658972
Matched Student-t (df5),TX,0.13022238903180974,51.05739445517364,-4.0159907940431205,4.249034510162161
Matched Student-t (df5),VA,16.630654566073403,98.16541487556843,9.687322262145285,23.521384221940163
Matched Student-t (df5),WV,-32.397780333994305,4.770994353253408,-50.74270537599923,-13.814979421053373
Matched Student-t (df5),WY,-43.156117456400274,0.03445466160088024,-50.004293269597106,-36.248436372616084
